alphabet,dim,querytype,k,crossover_size
generic,625,miss,1,50
generic,625,miss,2,50
generic,625,miss,4,50
generic,625,miss,8,100
generic,625,miss,16,158
generic,625,miss,32,300
generic,625,miss,64,389
generic,625,miss,625,1500
generic,625,hit,1,1
generic,625,hit,2,50
generic,625,hit,4,158
generic,625,hit,8,200
generic,625,hit,16,300
generic,625,hit,32,389
generic,625,hit,64,750
generic,625,hit,625,none
generic,625,mix,1,50
generic,625,mix,2,50
generic,625,mix,4,100
generic,625,mix,8,100
generic,625,mix,16,158
generic,625,mix,32,300
generic,625,mix,64,389
generic,625,mix,625,2000
generic,3600,miss,1,50
generic,3600,miss,2,50
generic,3600,miss,4,50
generic,3600,miss,8,100
generic,3600,miss,16,158
generic,3600,miss,32,300
generic,3600,miss,64,389
generic,3600,miss,3600,none
generic,3600,hit,1,300
generic,3600,hit,2,200
generic,3600,hit,4,300
generic,3600,hit,8,200
generic,3600,hit,16,300
generic,3600,hit,32,300
generic,3600,hit,64,300
generic,3600,hit,3600,none
generic,3600,mix,1,100
generic,3600,mix,2,100
generic,3600,mix,4,100
generic,3600,mix,8,158
generic,3600,mix,16,200
generic,3600,mix,32,300
generic,3600,mix,64,389
generic,3600,mix,3600,none
generic,3000,miss,1,50
generic,3000,miss,2,50
generic,3000,miss,4,50
generic,3000,miss,8,100
generic,3000,miss,16,158
generic,3000,miss,32,300
generic,3000,miss,64,300
generic,3000,miss,3000,none
generic,3000,hit,1,100
generic,3000,hit,2,2
generic,3000,hit,4,2
generic,3000,hit,8,2
generic,3000,hit,16,300
generic,3000,hit,32,750
generic,3000,hit,64,750
generic,3000,hit,3000,none
generic,3000,mix,1,100
generic,3000,mix,2,100
generic,3000,mix,4,100
generic,3000,mix,8,100
generic,3000,mix,16,158
generic,3000,mix,32,200
generic,3000,mix,64,389
generic,3000,mix,3000,none
permutation,625,miss,1,389
permutation,625,miss,2,100
permutation,625,miss,4,50
permutation,625,miss,8,50
permutation,625,miss,16,50
permutation,625,miss,32,50
permutation,625,miss,64,100
permutation,625,miss,625,500
permutation,625,hit,1,none
permutation,625,hit,2,158
permutation,625,hit,4,100
permutation,625,hit,8,100
permutation,625,hit,16,100
permutation,625,hit,32,158
permutation,625,hit,64,200
permutation,625,hit,625,1500
permutation,625,mix,1,1000
permutation,625,mix,2,100
permutation,625,mix,4,50
permutation,625,mix,8,50
permutation,625,mix,16,50
permutation,625,mix,32,100
permutation,625,mix,64,158
permutation,625,mix,625,750
permutation,3600,miss,1,1500
permutation,3600,miss,2,500
permutation,3600,miss,4,200
permutation,3600,miss,8,50
permutation,3600,miss,16,50
permutation,3600,miss,32,50
permutation,3600,miss,64,100
permutation,3600,miss,3600,1500
permutation,3600,hit,1,2000
permutation,3600,hit,2,500
permutation,3600,hit,4,389
permutation,3600,hit,8,100
permutation,3600,hit,16,100
permutation,3600,hit,32,158
permutation,3600,hit,64,200
permutation,3600,hit,3600,none
permutation,3600,mix,1,1500
permutation,3600,mix,2,1500
permutation,3600,mix,4,389
permutation,3600,mix,8,100
permutation,3600,mix,16,100
permutation,3600,mix,32,100
permutation,3600,mix,64,158
permutation,3600,mix,3600,2000
box,625,miss,1,50
box,625,miss,2,50
box,625,miss,4,50
box,625,miss,8,50
box,625,miss,16,100
box,625,miss,32,100
box,625,miss,64,100
box,625,miss,625,300
box,625,hit,1,100
box,625,hit,2,100
box,625,hit,4,100
box,625,hit,8,100
box,625,hit,16,100
box,625,hit,32,158
box,625,hit,64,200
box,625,hit,625,750
box,625,mix,1,100
box,625,mix,2,50
box,625,mix,4,50
box,625,mix,8,50
box,625,mix,16,100
box,625,mix,32,100
box,625,mix,64,100
box,625,mix,625,389
box,3600,miss,1,50
box,3600,miss,2,50
box,3600,miss,4,50
box,3600,miss,8,50
box,3600,miss,16,100
box,3600,miss,32,100
box,3600,miss,64,100
box,3600,miss,3600,1500
box,3600,hit,1,50
box,3600,hit,2,50
box,3600,hit,4,50
box,3600,hit,8,50
box,3600,hit,16,50
box,3600,hit,32,200
box,3600,hit,64,200
box,3600,hit,3600,none
box,3600,mix,1,50
box,3600,mix,2,50
box,3600,mix,4,50
box,3600,mix,8,50
box,3600,mix,16,100
box,3600,mix,32,100
box,3600,mix,64,158
box,3600,mix,3600,2000
box,3000,miss,1,50
box,3000,miss,2,50
box,3000,miss,4,50
box,3000,miss,8,50
box,3000,miss,16,100
box,3000,miss,32,100
box,3000,miss,64,100
box,3000,miss,3000,1000
box,3000,hit,1,100
box,3000,hit,2,158
box,3000,hit,4,100
box,3000,hit,8,100
box,3000,hit,16,100
box,3000,hit,32,100
box,3000,hit,64,200
box,3000,hit,3000,none
box,3000,mix,1,100
box,3000,mix,2,50
box,3000,mix,4,50
box,3000,mix,8,50
box,3000,mix,16,100
box,3000,mix,32,158
box,3000,mix,64,158
box,3000,mix,3000,1500
